a,b,x,y,z
0,213.798,0.2022,0,-0.4422
0,215.962,0.2187,0,-0.4343
0,219.034,0.2417,0,-0.422
0,222.13,0.2641,0,-0.4083
0,224.086,0.2779,0,-0.399
0,226.855,0.2969,0,-0.3852
0,230.215,0.3189,0,-0.3671
0,232.218,0.3315,0,-0.3556
0,234.401,0.3449,0,-0.3428
0,237.779,0.3645,0,-0.3219
0,239.924,0.3762,0,-0.308
0,242.212,0.3883,0,-0.2928
0,245.566,0.4047,0,-0.2696
0,248.848,0.4195,0,-0.2459
0,251.349,0.4298,0,-0.2274
0,253.846,0.4393,0,-0.2085
0,256.364,0.4481,0,-0.189
0,258.873,0.4559,0,-0.1692
0,261.38,0.4629,0,-0.1491
0,263.898,0.469,0,-0.1286
0,266.418,0.4742,0,-0.1078
0,268.947,0.4785,0,-0.0868
0,269.114,0.4787,0,-0.0854
0,269.281,0.4789,0,-0.084
0,269.447,0.4792,0,-0.0826
0,269.614,0.4794,0,-0.0812
0,269.78,0.4797,-1.5309,-0.0798
0,269.947,0.4799,0,-0.0784
0,270.279,0.4804,0,-0.0757
0,273.145,0.4836,-1.5299,-0.0515
0,275.942,0.4855,-1.5289,-0.0279
0,278.457,0.4862,-1.5281,-0.0066
0,280.983,0.4861,-1.5272,0.0149
0,284.051,0.4846,-1.5261,0.0409
0,286.884,0.4819,-1.5251,0.0648
0,289.107,0.479,-1.5244,0.0834
0,291.581,0.475,-1.5235,0.104
0,294.937,0.4681,-1.5223,0.1316
0,298.288,0.4596,-1.5212,0.1588
0,301.661,0.4495,-1.52,0.1856
0,303.978,0.4415,-1.5192,0.2035
0,306.097,0.4338,-1.5185,0.2198
0,309.444,0.4202,-1.5173,0.2447
0,312.239,0.4078,-1.5163,0.2649
0,314.752,0.3958,-1.5155,0.2825
0,317.266,0.383,-1.5146,0.2996
0,319.787,0.3695,-1.5137,0.3162
0,322.304,0.3552,-1.5128,0.3321
0,324.802,0.3404,-1.512,0.3473
0,327.595,0.3231,-1.511,0.3635
0,330.122,0.3067,-1.5101,0.3773
0,332.613,0.29,-1.5093,0.3903
0,335.697,0.2686,-1.5082,0.4054
0,339.344,0.2423,-1.5069,0.4216
0,342.98,0.2151,-1.5057,0.4361
0,346.611,0.187,-1.5044,0.4489
0,350.225,0.1584,-1.5031,0.4598
0,353.579,0.1312,-1.502,0.4683
0,356.933,0.1036,-1.5008,0.4751
0,360.288,0.0756,-1.4997,0.4804
0,363.627,0.0475,-1.4985,0.484
0,366.97,0.0192,-1.4973,0.4859
0,369.768,-0.0046,-1.4964,0.4863
0,372.273,-0.0258,-1.4955,0.4856
0,374.794,-0.0472,-1.4946,0.484
0,377.589,-0.0707,-1.4936,0.4811
0,380.678,-0.0965,-1.4926,0.4766
0,383.488,-0.1197,-1.4916,0.4713
0,385.692,-0.1378,-1.4908,0.4663
0,388.186,-0.158,-1.49,0.4599
0,390.706,-0.178,-1.4891,0.4525
0,392.654,-0.1933,-1.4884,0.4462
0,395.447,-0.2148,-1.4874,0.4363
0,398.812,-0.2401,-1.4863,0.4229
0,401.614,-0.2604,-1.4853,0.4106
0,403.838,-0.2762,-1.4845,0.4002
0,406.359,-0.2935,-1.4837,0.3877
0,409.134,-0.3119,-1.4827,0.373
0,411.367,-0.3262,-1.4819,0.3606
0,414.163,-0.3435,-1.4809,0.3443
0,416.397,-0.3566,-1.4802,0.3306
0,418.903,-0.3707,-1.4793,0.3147
0,421.968,-0.387,-1.4782,0.2944
0,424.261,-0.3984,-1.4774,0.2787
0,426.438,-0.4088,-1.4767,0.2634
0,428.955,-0.42,-1.4758,0.2452
0,431.748,-0.4314,-1.4748,0.2244
0,434.004,-0.4399,-1.4741,0.2072
0,436.767,-0.4494,-1.4731,0.1858
0,440.403,-0.4603,-1.4718,0.1569
0,443.748,-0.4686,-1.4707,0.1298
0,447.087,-0.4754,-1.4695,0.1023
0,447.279,-0.4757,-1.4694,0.1007
0,447.47,-0.476,0,0.0991
0,447.662,-0.4763,-1.4693,0.0975
0,447.853,-0.4766,-1.4692,0.0959
0,448.236,-0.4772,-1.4691,0.0927
0,448.618,-0.4778,-1.469,0.0896
0,448.999,-0.4784,-1.4688,0.0864
0,449.38,-0.479,-1.4687,0.0832
0,449.761,-0.4796,-1.4686,0.08
0,450.141,-0.4802,-1.4685,0.0768
0,453.496,-0.4839,-1.4673,0.0486
0,456.849,-0.4859,-1.4661,0.0202
0,459.927,-0.4863,-1.4651,-0.0059
0,463.287,-0.4851,-1.4639,-0.0344
0,466.29,-0.4826,-1.4628,-0.0598
0,468.25,-0.4802,-1.4622,-0.0762
0,470.74,-0.4765,-1.4613,-0.097
0,474.099,-0.47,-1.4601,-0.1248
0,477.204,-0.4625,-1.4591,-0.15
0,479.148,-0.4571,-1.4584,-0.1656
0,481.91,-0.4487,-1.4574,-0.1875
0,484.447,-0.4399,-1.4565,-0.2072
0,486.369,-0.4327,-1.4559,-0.2218
0,489.436,-0.4203,-1.4548,-0.2447
0,493.082,-0.4039,-1.4535,-0.2709
0,496.226,-0.3883,-1.4524,-0.2926
0,497.827,-0.38,-1.4519,-0.3033
0,501.162,-0.3618,-1.4507,-0.325
0,504.794,-0.3405,-1.4495,-0.3472
0,508.418,-0.3178,-1.4482,-0.3681
0,511.005,-0.3009,-1.4473,-0.382
0,513.524,-0.2838,-1.4464,-0.3949
0,516.027,-0.2663,-1.4456,-0.4069
0,518.547,-0.2481,-1.4447,-0.4182
0,521.037,-0.2297,-1.4438,-0.4286
0,523.825,-0.2086,-1.4429,-0.4393
0,526.345,-0.1891,-1.442,-0.448
0,528.562,-0.1716,-1.4412,-0.455
0,531.07,-0.1516,-1.4404,-0.4621
0,534.143,-0.1266,-1.4393,-0.4695
0,537.226,-0.1011,-1.4382,-0.4757
0,540.028,-0.0778,-1.4372,-0.48
0,543.358,-0.0498,-1.4361,-0.4837
0,546.442,-0.0237,-1.435,-0.4857
0,549.038,-0.0016,-1.4341,-0.4862
0,550.619,0.0118,-1.4336,-0.4861
0,553.973,0.0402,-1.4324,-0.4846
0,557.497,0.0699,-1.4312,-0.4812
0,561.132,0.1003,-1.4299,-0.4758
0,564.766,0.1302,-1.4287,-0.4685
0,568.4,0.1597,-1.4274,-0.4593
0,570.886,0.1795,-1.4265,-0.452
0,573.436,0.1994,-1.4256,-0.4435
0,576.202,0.2205,-1.4247,-0.4334
0,578.448,0.2373,-1.4239,-0.4244
0,580.965,0.2558,-1.423,-0.4136
0,583.75,0.2756,-1.4221,-0.4007
0,586.008,0.2911,-1.4213,-0.3895
0,588.199,0.3058,-1.4205,-0.3781
0,591.262,0.3256,-1.4195,-0.3612
0,593.539,0.3396,-1.4187,-0.3479
0,595.765,0.3529,-1.4179,-0.3345
0,598.845,0.3704,-1.4168,-0.3151
0,601.934,0.3869,-1.4157,-0.2947
0,604.206,0.3982,-1.415,-0.2791
0,606.38,0.4085,-1.4142,-0.2638
0,609.729,0.4232,-1.413,-0.2395
0,613.364,0.4376,-1.4118,-0.2122
0,616.698,0.4492,-1.4106,-0.1863
0,620.329,0.4601,-1.4094,-0.1575
0,623.664,0.4685,-1.4082,-0.1305
0,627.017,0.4753,-1.407,-0.1029
0,628.495,0.4776,-1.4065,-0.0906
0,629.077,0.4787,-1.4063,-0.0857
0,629.384,0.4791,-1.4062,-0.0832
0,629.691,0.4795,-1.4061,-0.0806
